gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	projectId	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory	eventType
1438492669	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			CC_BY_NC_4_0				Museu Paraense Emílio Goeldi (MPEG)					MPEG	ANL			PRESERVED_SPECIMEN				MPEG.ANL 000187	MPEG.ANL 000187		Lavelle, P. ; , Equipe													PRESENT	Etanol - 1																																			Pará, Maçaranduba	SOUTH_AMERICA				BR	Pará	Maçaranduba		inderterminado									-4.806111	-49.317778																																																		incertae sedis								incertae sedis													KINGDOM							9c48ee0b-404a-4c84-9af0-946eef39ddca	BR	2023-09-07T09:19:05.947Z						COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_NONE;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		true	false	0		0												EML	2023-09-07T09:19:05.947Z	2023-01-07T11:25:05.817Z	false			BRA	Brazil	BRA.14_1	Pará	BRA.14.78_2	Nova Ipixuna				
1438492668	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			CC_BY_NC_4_0				Museu Paraense Emílio Goeldi (MPEG)					MPEG	ANL			PRESERVED_SPECIMEN				MPEG.ANL 000190	MPEG.ANL 000190		Lavelle, P. ; , Equipe													PRESENT	Etanol - 1																																			Pará, Palmares	SOUTH_AMERICA				BR	Pará	Palmares		inderterminado									-5.849722	-49.865556																																																		Andiorrhinus (Quibario) Quibario								Animalia	Annelida	Clitellata	Haplotaxida	Glossoscolecidae		Andiorrhinus	Andiorrhinus						GENUS				DOUBTFUL			9c48ee0b-404a-4c84-9af0-946eef39ddca	BR	2023-09-07T09:19:05.947Z						COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		true	false	2308798	2308798	1	42	255	472	3567	2308798				Andiorrhinus (Quibario) Quibario	Andiorrhinus		EML	2023-09-07T09:19:05.947Z	2023-01-07T11:25:05.817Z	false			BRA	Brazil	BRA.14_1	Pará	BRA.14.66_2	Marabá				
1438492667	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			CC_BY_NC_4_0				Museu Paraense Emílio Goeldi (MPEG)					MPEG	ANL			PRESERVED_SPECIMEN				MPEG.ANL 000181	MPEG.ANL 000181		Morais, G.; Magalhães, A.M.; Monteiro, E.; Vilela, P.													PRESENT	Etanol - 2																		2010-05-29T00:00:00				2010	5	29											Pará, Curuçá	SOUTH_AMERICA				BR	Pará	Curuçá		Ilha de Areuá - estuário do Rio Curuçá									-0.586119	-47.846192																																																		Capitella ovincola Hartman, 1947								Animalia	Annelida	Polychaeta		Capitellidae		Capitella	Capitella			ovincola			SPECIES				ACCEPTED			9c48ee0b-404a-4c84-9af0-946eef39ddca	BR	2023-09-07T09:19:05.947Z						COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		true	false	2318044	2318044	1	42	256		5752	2318007		2318044	Capitella ovincola	Capitella ovincola Hartman, 1947	Capitella ovincola		EML	2023-09-07T09:19:05.947Z	2023-01-07T11:25:05.817Z	false											NE	
1438492666	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			CC_BY_NC_4_0				Museu Paraense Emílio Goeldi (MPEG)					MPEG	ANL			PRESERVED_SPECIMEN				MPEG.ANL 000178	MPEG.ANL 000178		Morais, G.; Borges, A.; Magalhães, A.M.; Galvão, J.													PRESENT	Etanol - 2																		2010-03-28T00:00:00				2010	3	28											Pará, Curuçá	SOUTH_AMERICA				BR	Pará	Curuçá		Ilha de Areuá - estuário do Rio Curuçá									-0.586119	-47.846192																																																		Isolda pulchella Müller, 1858								Animalia	Annelida	Polychaeta		Melinnidae		Isolda	Isolda			pulchella			SPECIES				ACCEPTED			9c48ee0b-404a-4c84-9af0-946eef39ddca	BR	2023-09-07T09:19:05.946Z						COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		true	false	2325694	2325694	1	42	256		10732132	2325688		2325694	Isolda pulchella	Isolda pulchella Müller, 1858	Isolda pulchella		EML	2023-09-07T09:19:05.946Z	2023-01-07T11:25:05.817Z	false											NE	
1438492665	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			CC_BY_NC_4_0				Museu Paraense Emílio Goeldi (MPEG)					MPEG	ANL			PRESERVED_SPECIMEN				MPEG.ANL 000184	MPEG.ANL 000184		Teixeira, R. P.													PRESENT	Etanol - 1																		2011-06-14T00:00:00				2011	6	14											Pará	SOUTH_AMERICA				BR	Pará			Rio Maró, Nova Canaã																																																												incertae sedis								incertae sedis													KINGDOM							9c48ee0b-404a-4c84-9af0-946eef39ddca	BR	2023-09-07T09:19:05.947Z						TAXON_MATCH_NONE;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		false	false	0		0												EML	2023-09-07T09:19:05.947Z	2023-01-07T11:25:05.817Z	false												
1438492664	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			CC_BY_NC_4_0				Museu Paraense Emílio Goeldi (MPEG)					MPEG	ANL			PRESERVED_SPECIMEN				MPEG.ANL 000199	MPEG.ANL 000199		Lavelle, P. ; , Equipe													PRESENT	Etanol - 1																																			Pará, Pacajá	SOUTH_AMERICA				BR	Pará	Pacajá		indeterminado									-3.705833	-51.035																																																		incertae sedis								incertae sedis													KINGDOM							9c48ee0b-404a-4c84-9af0-946eef39ddca	BR	2023-09-07T09:19:05.947Z						COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_NONE;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		true	false	0		0												EML	2023-09-07T09:19:05.947Z	2023-01-07T11:25:05.817Z	false			BRA	Brazil	BRA.14_1	Pará	BRA.14.87_2	Pacajá				
1438492663	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			CC_BY_NC_4_0				Museu Paraense Emílio Goeldi (MPEG)					MPEG	ANL			PRESERVED_SPECIMEN				MPEG.ANL 000189	MPEG.ANL 000189		Lavelle, P. ; , Equipe													PRESENT	Etanol - 1																																			Pará, Maçaranduba	SOUTH_AMERICA				BR	Pará	Maçaranduba		inderterminado									-4.806111	-49.317778																																																		incertae sedis								incertae sedis													KINGDOM							9c48ee0b-404a-4c84-9af0-946eef39ddca	BR	2023-09-07T09:19:05.947Z						COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_NONE;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		true	false	0		0												EML	2023-09-07T09:19:05.947Z	2023-01-07T11:25:05.817Z	false			BRA	Brazil	BRA.14_1	Pará	BRA.14.78_2	Nova Ipixuna				
1438492662	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			CC_BY_NC_4_0				Museu Paraense Emílio Goeldi (MPEG)					MPEG	ANL			PRESERVED_SPECIMEN				MPEG.ANL 000183	MPEG.ANL 000183		Morais, G.; Borges, A.; Magalhães, A.M.; Galvão, J.													PRESENT	Etanol - 1																		2010-03-28T00:00:00				2010	3	28											Pará, Curuçá	SOUTH_AMERICA				BR	Pará	Curuçá		Ilha de Areuá - estuário do Rio Curuçá									-0.586119	-47.846192																																																		Leodamas Kinberg, 1866								Animalia	Annelida	Polychaeta		Orbiniidae		Leodamas	Leodamas						GENUS				ACCEPTED			9c48ee0b-404a-4c84-9af0-946eef39ddca	BR	2023-09-07T09:19:05.947Z						COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		true	false	7236645	7236645	1	42	256		1980	7236645				Leodamas Kinberg, 1866	Leodamas		EML	2023-09-07T09:19:05.947Z	2023-01-07T11:25:05.817Z	false												
1438492661	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			CC_BY_NC_4_0				Museu Paraense Emílio Goeldi (MPEG)					MPEG	ANL			PRESERVED_SPECIMEN				MPEG.ANL 000177	MPEG.ANL 000177		Morais, G.; Borges, A.; Monteiro, E.; Galvão, J.													PRESENT	Etanol - 2																		2010-03-29T00:00:00				2010	3	29											Pará, Curuçá	SOUTH_AMERICA				BR	Pará	Curuçá		Ilha de Areuá - estuário do Rio Curuçá									-0.586119	-47.846192																																																		Boccardiella Blake & Kudenov, 1978								Animalia	Annelida	Polychaeta		Spionidae		Boccardiella	Boccardiella						GENUS				ACCEPTED			9c48ee0b-404a-4c84-9af0-946eef39ddca	BR	2023-09-07T09:19:05.946Z						COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_FUZZY;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		true	false	2320997	2320997	1	42	256		3595	2320997				Boccardiella Blake & Kudenov, 1978	Bocardiella		EML	2023-09-07T09:19:05.946Z	2023-01-07T11:25:05.817Z	false												
1438492660	Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.			CC_BY_NC_4_0				Museu Paraense Emílio Goeldi (MPEG)					MPEG	ANL			PRESERVED_SPECIMEN				MPEG.ANL 000225	MPEG.ANL 000225		Santos, B.; , Equipe													PRESENT	Etanol - 13																		2014-02-07T00:00:00				2014	2	7											Maranhão, Mirinzal	SOUTH_AMERICA				BR	Maranhão	Mirinzal		Fazenda Mundinho									-2.1158	-44.846669																																																		Pontoscolex corethrurus (Muller, 1856)								Animalia	Annelida	Clitellata	Crassiclitellata	Rhinodrilidae		Pontoscolex	Pontoscolex			corethrurus			SPECIES				ACCEPTED			9c48ee0b-404a-4c84-9af0-946eef39ddca	BR	2023-09-07T09:19:05.954Z						COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		true	false	2308741	2308741	1	42	255	5958860	9272891	10943108		2308741	Pontoscolex corethrurus	Pontoscolex corethrurus (Muller, 1856)	Pontoscolex corethrurus		EML	2023-09-07T09:19:05.954Z	2023-01-07T11:25:05.817Z	false			BRA	Brazil	BRA.10_1	Maranhão	BRA.10.120_2	Mirinzal			NE	
